Serialnumber;Postal code;Measurement source type;Measurement date;Measurement time;Unit;Measurement value;Correction;House type;Residents;Energy label;Solar panels
1011216;7548BM;electricity;11-12-2020;14:00:00;kWh;0,1324;;detachedHouse;3;c;12
1011216;7548BM;electricity;11-12-2020;15:00:00;kWh;0,3387;;detachedHouse;3;c;12
1011216;7548BM;electricity;11-12-2020;16:00:00;kWh;0,3612;;detachedHouse;3;c;12
1011216;7548BM;electricity;11-12-2020;17:00:00;kWh;1,7449;;detachedHouse;3;c;12
1011216;7548BM;electricity;11-12-2020;18:00:00;kWh;0,662;;detachedHouse;3;c;12
1011216;7548BM;electricity;11-12-2020;19:00:00;kWh;0,9384;;detachedHouse;3;c;12
1011216;7548BM;electricity;11-12-2020;20:00:00;kWh;1,8791;;detachedHouse;3;c;12
1011216;7548BM;electricity;11-12-2020;21:00:00;kWh;1,8454;;detachedHouse;3;c;12
1011216;7548BM;electricity;11-12-2020;22:00:00;kWh;0,7216;;detachedHouse;3;c;12
1011216;7548BM;electricity;11-12-2020;23:00:00;kWh;0,3505;;detachedHouse;3;c;12
1011216;7548BM;electricity;12-12-2020;00:00:00;kWh;0,5633;;detachedHouse;3;c;12
1011216;7548BM;electricity;12-12-2020;01:00:00;kWh;0,3092;;detachedHouse;3;c;12
1011216;7548BM;electricity;12-12-2020;02:00:00;kWh;0,2296;;detachedHouse;3;c;12
1011216;7548BM;electricity;12-12-2020;03:00:00;kWh;0,2258;;detachedHouse;3;c;12
1011216;7548BM;electricity;12-12-2020;04:00:00;kWh;0,2167;;detachedHouse;3;c;12
1011216;7548BM;electricity;12-12-2020;05:00:00;kWh;0,203;;detachedHouse;3;c;12
1011216;7548BM;electricity;12-12-2020;06:00:00;kWh;0,235;;detachedHouse;3;c;12
1011216;7548BM;electricity;12-12-2020;07:00:00;kWh;0,2061;;detachedHouse;3;c;12
1011216;7548BM;electricity;12-12-2020;08:00:00;kWh;0,2102;;detachedHouse;3;c;12
1011216;7548BM;electricity;12-12-2020;09:00:00;kWh;0,2105;;detachedHouse;3;c;12
1011216;7548BM;electricity;12-12-2020;10:00:00;kWh;0,5055;;detachedHouse;3;c;12
1011216;7548BM;electricity;12-12-2020;11:00:00;kWh;0,7827;;detachedHouse;3;c;12
1011216;7548BM;electricity;12-12-2020;12:00:00;kWh;0,885;;detachedHouse;3;c;12
1011216;7548BM;electricity;12-12-2020;13:00:00;kWh;1,0589;;detachedHouse;3;c;12
1011216;7548BM;electricity;12-12-2020;14:00:00;kWh;0,3162;;detachedHouse;3;c;12
